region,year,food_supply
Middle East & North Africa,1961,2145.3333333333335
Middle East & North Africa,1962,2166.6666666666665
Middle East & North Africa,1963,2170.0
Middle East & North Africa,1964,2190.0
Middle East & North Africa,1965,2217.3333333333335
Middle East & North Africa,1966,2235.3333333333335
Middle East & North Africa,1967,2262.0
Middle East & North Africa,1968,2322.0
Middle East & North Africa,1969,2310.0
Middle East & North Africa,1970,2318.0
Middle East & North Africa,1971,2330.6666666666665
Middle East & North Africa,1972,2340.0
Middle East & North Africa,1973,2394.0
Middle East & North Africa,1974,2388.0
Middle East & North Africa,1975,2427.3333333333335
Middle East & North Africa,1976,2465.3333333333335
Middle East & North Africa,1977,2528.0
Middle East & North Africa,1978,2584.0
Middle East & North Africa,1979,2636.0
Middle East & North Africa,1980,2718.0
Middle East & North Africa,1981,2743.3333333333335
Middle East & North Africa,1982,2780.6666666666665
Middle East & North Africa,1983,2806.0
Middle East & North Africa,1984,2814.0
Middle East & North Africa,1985,2821.3333333333335
Middle East & North Africa,1986,2834.6666666666665
Middle East & North Africa,1987,2870.6666666666665
Middle East & North Africa,1988,2903.3333333333335
Middle East & North Africa,1989,2907.3333333333335
Middle East & North Africa,1990,2811.875
Middle East & North Africa,1991,2735.625
Middle East & North Africa,1992,2760.625
Middle East & North Africa,1993,2777.5
Middle East & North Africa,1994,2803.125
Middle East & North Africa,1995,2850.0
Middle East & North Africa,1996,2870.0
Middle East & North Africa,1997,2894.375
Middle East & North Africa,1998,2931.25
Middle East & North Africa,1999,2952.5
Middle East & North Africa,2000,2946.25
Middle East & North Africa,2001,2980.0
Middle East & North Africa,2002,2990.0
Middle East & North Africa,2003,2996.25
Middle East & North Africa,2004,3011.875
Middle East & North Africa,2005,3017.5
Middle East & North Africa,2006,3041.25
Middle East & North Africa,2007,3050.625
Middle East & North Africa,2008,3047.5
Middle East & North Africa,2009,3070.0
Middle East & North Africa,2010,3095.625
Middle East & North Africa,2011,3111.25
Middle East & North Africa,2012,3139.375
Middle East & North Africa,2013,3148.75
